Type of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Middle Filter Zone ID,Middle Filter Zone Name,Middle Filter Zone Direction (degrees),Middle Filter Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-M-D Traffic (StL Index),Average Daily Origin Zone Traffic (StL Index),Average Daily Middle Filter Zone Traffic (StL Index),Average Daily Destination Zone Traffic (StL Index),Avg Trip Duration (sec)
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/80 St,102,no,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),1: Peak AM (7am-10am),38,12920,4250,3473,905
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/80 St,102,no,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),130,20310,8008,6727,863
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/80 St,102,no,,Northern Blvd EB,yes,89,no,1: Weekday (Tu-Th),0: All Day (12am-12am),327,102205,36871,28138,990
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/80 St,102,no,,Northern Blvd EB,yes,89,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),8,14297,4696,3845,1496
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/80 St,102,no,,Northern Blvd EB,yes,89,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),149,21740,8410,7445,955
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Astoria Blvd DMF,yes,108,no,0: All Days (M-Su),0: All Day (12am-12am),19572,100248,47052,41811,302
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Astoria Blvd DMF,yes,108,no,0: All Days (M-Su),1: Peak AM (7am-10am),2548,12920,5942,5436,256
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Astoria Blvd DMF,yes,108,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),3650,20310,9672,8865,482
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Astoria Blvd DMF,yes,108,no,1: Weekday (Tu-Th),0: All Day (12am-12am),19824,102205,47991,42552,315
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Astoria Blvd DMF,yes,108,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),2850,14297,6507,5809,262
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Astoria Blvd DMF,yes,108,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),3618,21740,10345,9253,540
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Ditmars DMF,yes,143,no,0: All Days (M-Su),0: All Day (12am-12am),5251,100248,47052,37942,242
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Ditmars DMF,yes,143,no,0: All Days (M-Su),1: Peak AM (7am-10am),656,12920,5942,3997,196
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Ditmars DMF,yes,143,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),894,20310,9672,10227,375
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Ditmars DMF,yes,143,no,1: Weekday (Tu-Th),0: All Day (12am-12am),5299,102205,47991,39364,249
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Ditmars DMF,yes,143,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),761,14297,6507,4470,213
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Ditmars DMF,yes,143,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),878,21740,10345,10865,417
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),0: All Day (12am-12am),198,100248,47052,28175,739
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),1: Peak AM (7am-10am),32,12920,5942,3473,890
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),54,20310,9672,6727,779
