0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Type of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Middle Filter Zone ID,Middle Filter Zone Name,Middle Filter Zone Direction (degrees),Middle Filter Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-M-D Traffic (StL Index),Average Daily Origin Zone Traffic (StL Index),Average Daily Middle Filter Zone Traffic (StL Index),Average Daily Destination Zone Traffic (StL Index),Avg Trip Duration (sec)
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Ditmars Blvd,yes,143,no,0: All Days (M-Su),0: All Day (12am-12am),12646,146160,77957,44790,191
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Ditmars Blvd,yes,143,no,0: All Days (M-Su),1: Peak AM (7am-10am),1355,17369,9172,5123,149
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Ditmars Blvd,yes,143,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),2099,31084,14494,10488,244
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Ditmars Blvd,yes,143,no,1: Weekday (Tu-Th),0: All Day (12am-12am),12453,151591,76066,46554,208
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Ditmars Blvd,yes,143,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),1719,19752,10309,5966,154
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Ditmars Blvd,yes,143,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),2139,33779,14315,11276,272
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),0: All Day (12am-12am),259,146160,77957,36203,679
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),1: Peak AM (7am-10am),15,17369,9172,4340,665
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),101,31084,14494,8109,507
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Northern Blvd EB,yes,89,no,1: Weekday (Tu-Th),0: All Day (12am-12am),221,151591,76066,36530,421
